"id","user_id","ticker","decision","analysis_price","alert_threshold","current_price","status","triggered_at","created"
"1","2","AAPL","BUY","252.62","227.36","null","dismissed","null","2026-03-26T12:54:30.607231"
"2","2","AAPL","BUY","252.62","227.36","null","dismissed","null","2026-03-26T12:58:27.443528"
"3","2","TSLA","BUY","385.95","347.36","361.83","active","null","2026-03-26T13:00:52.056445"
"4","2","NVDA","BUY","178.68","160.81","null","dismissed","null","2026-03-26T13:02:25.271466"
"5","2","NVDA","BUY","175.685","158.12","167.52","active","null","2026-03-26T19:18:26.388363"
"6","2","AAPL","BUY","252.84","227.56","null","dismissed","null","2026-03-26T19:24:04.281126"
"7","2","AAPL","BUY","248.8","223.92","null","dismissed","null","2026-03-28T16:48:14.594639"
"8","2","AAPL","BUY","248.8","223.92","248.8","active","null","2026-03-28T16:49:42.485191"
